Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"FactoryTabUpgrade",,"升级设备","升級設備","Upgrade","設備強化","장비 업그레이드","อัปเกรดอุปกรณ์","Nâng cấp"
"FactoryUpgradeTitle",,"升级设备","升級設備","Upgrade Equipment","設備強化","장비 업그레이드","อัปเกรดอุปกรณ์","Nâng cấp thiết bị"
"FactoryUpgradeMax",,"MAX","MAX","MAX","MAX","MAX","MAX","MAX"
"FactoryUpgradeButton",,"升级","升級","Upgrade","強化","업그레이드","อัปเกรด","Nâng cấp"
"FactoryUpgradeBonusYield",,"良品率","良品率","Quality","良品率","양품률","อัตราคุณภาพ","Tỷ lệ đạt"
"FactoryUpgradeBonusVolume",,"生产量","生產量","Output","生産量","생산량","กำลังผลิต","Sản lượng"
"FactoryUpgradeNextEffect",,"升级效果→","升級效果→","Next →","強化効果→","업그레이드 효과→","ผลอัปเกรด→","Hiệu quả →"
"FactoryUpgradeNotEnough",,"金币不足","金幣不足","Not enough gold","ゴールド不足","골드 부족","ทองไม่พอ","Không đủ vàng"
"FactoryUpgradeMaxed",,"已满级","已滿級","Max level reached","最大レベルです","최대 레벨입니다","ถึงเลเวลสูงสุดแล้ว","Đã đạt cấp tối đa"
"FactoryUpgradeUpgraded",,"升级成功！","升級成功！","Upgraded!","強化成功！","업그레이드 완료!","อัปเกรดสำเร็จ!","Nâng cấp thành công!"
"FactoryUpgradeEmpty",,"暂无可升级设备","暫無可升級設備","No equipment to upgrade","強化できる設備がありません","업그레이드할 장비가 없습니다","ไม่มีอุปกรณ์ให้อัปเกรด","Không có thiết bị để nâng cấp"
"ServoInjectionMoldingMachine",,"伺服注塑机","伺服注塑機","Servo Injection Molder","サーボ射出成形機","서보 사출성형기","เครื่องฉีดเซอร์โว","Máy ép phun servo"
"TemperatureControlCoatingRoom",,"温控涂装间","溫控塗裝間","Climate Coating Room","温調塗装室","온도제어 도장실","ห้องพ่นสีคุมอุณหภูมิ","Phòng sơn kiểm nhiệt"
"VisualSortingMachine",,"视觉分拣机","視覺分揀機","Visual Sorter","ビジョン選別機","비전 선별기","เครื่องคัดแยกด้วยภาพ","Máy phân loại thị giác"
"MoldTemperatureControlSystem",,"模具温控系统","模具溫控系統","Mold Thermal System","金型温調システム","금형 온도제어 시스템","ระบบคุมอุณหภูมิแม่พิมพ์","Hệ thống kiểm nhiệt khuôn"
"AIVisualPadPrintingMachine",,"AI视觉移印机","AI視覺移印機","AI Pad Printer","AIパッド印刷機","AI 패드 인쇄기","เครื่องพิมพ์แพด AI","Máy in pad AI"
"VacuumCuringLine",,"真空固化线","真空固化線","Vacuum Curing Line","真空硬化ライン","진공 경화 라인","สายบ่มสุญญากาศ","Dây chuyền lưu hóa chân không"
"ServoTextInjectionTextMoldingTextMachineText",,"精密注塑，提升良品率，盖章更易出正品。","精密注塑，提升良品率，蓋章更易出正品。","Precision molding raises quality so stamps yield more perfect goods.","精密成形で良品率が上がり、スタンプで正規品が出やすくなる。","정밀 성형으로 양품률을 높여 도장 시 정품이 더 잘 나옵니다.","ฉีดแม่นยำ เพิ่มอัตราคุณภาพ ปั๊มได้ของดีมากขึ้น","Ép chính xác, tăng tỷ lệ đạt, đóng dấu dễ ra hàng chuẩn."
"TemperatureTextControlTextCoatingTextRoomText",,"恒温涂装，减少瑕疵，提升良品率。","恆溫塗裝，減少瑕疵，提升良品率。","Climate coating cuts defects and raises quality.","恒温塗装で欠陥を減らし、良品率を高める。","항온 도장으로 결함을 줄이고 양품률을 높입니다.","พ่นสีคุมอุณหภูมิ ลดตำหนิ เพิ่มอัตราคุณภาพ","Sơn ổn nhiệt, giảm lỗi, tăng tỷ lệ đạt."
"VisualTextSortingTextMachineText",,"视觉质检，提升良品率，降低次品。","視覺質檢，提升良品率，降低次品。","Vision inspection raises quality and reduces defects.","ビジョン検査で良品率を上げ、不良を減らす。","비전 검사로 양품률을 높이고 불량을 줄입니다.","ตรวจด้วยภาพ เพิ่มอัตราคุณภาพ ลดของเสีย","Kiểm tra thị giác, tăng tỷ lệ đạt, giảm phế phẩm."
"MoldTextTemperatureTextControlTextSystemText",,"稳定模温，提升单次生产量。","穩定模溫，提升單次生產量。","Stable mold heat boosts output per run.","金型温度を安定させ、1回の生産量を高める。","금형 온도를 안정시켜 1회 생산량을 높입니다.","คุมอุณหภูมิแม่พิมพ์ เพิ่มผลผลิตต่อรอบ","Ổn nhiệt khuôn, tăng sản lượng mỗi lượt."
"AITextVisualTextPadTextPrintingTextMachineText",,"高速移印，提升单次生产量。","高速移印，提升單次生產量。","High-speed pad printing boosts output per run.","高速パッド印刷で1回の生産量を高める。","고속 패드 인쇄로 1회 생산량을 높입니다.","พิมพ์แพดความเร็วสูง เพิ่มผลผลิตต่อรอบ","In pad tốc độ cao, tăng sản lượng mỗi lượt."
"VacuumTextCuringTextLineText",,"加速固化，大幅提升单次生产量。","加速固化，大幅提升單次生產量。","Vacuum curing greatly boosts output per run.","真空硬化で1回の生産量を大きく高める。","진공 경화로 1회 생산량을 크게 높입니다.","บ่มสุญญากาศ เพิ่มผลผลิตต่อรอบมาก","Lưu hóa chân không, tăng mạnh sản lượng mỗi lượt."
