Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"Affection","6288797696","好感道具","好感道具","Affection Item","好感度アイテム","호감도 아이템","ไอเทมเพิ่มความชอบ","Vật phẩm tăng thiện cảm"
"Inspiration","59367714816","灵感道具","靈感道具","Inspiration Props","インスピレーション小道具","영감 소품","อุปกรณ์สร้างแรงบันดาลใจ","Đạo cụ truyền cảm hứng"
"Stress","81656246272","压力道具","壓力道具","Pressure Props","圧力道具","압력 도구","อุปกรณ์แรงดัน","Đạo cụ áp lực"
"Stamina","104204824576","体力道具","體力道具","Stamina Item","体力アイテム","체력 아이템","ไอเทมพลังงาน","Vật phẩm thể lực"
"Story","128267546624","剧情道具","劇情道具","Plot Props","ストーリー小道具","스토리 소품","อุปกรณ์ประกอบฉากตามเนื้อเรื่อง","Đạo cụ cốt truyện"
"Ingredient","151906643968","食材道具","食材道具","Ingredient Props","食材アイテム","식재료 아이템","อุปกรณ์วัตถุดิบ","Đạo cụ nguyên liệu"
"Recipe","175583490048","配方道具","配方道具","Recipe Item","レシピアイテム","레시피 아이템","ไอเทมสูตร","Vật phẩm công thức"
"Food","201445568512","食物道具","食物道具","Food props","食べ物の小道具","음식 소품","อุปกรณ์ประกอบฉากอาหาร","Đạo cụ thức ăn"
"All","227005657088","全部","全部","All","すべて","전체","ทั้งหมด","Tất cả"
"CreatTime","67334342930432","创建时间","建立時間","Creation Time","作成日時","생성 시간","เวลาที่สร้าง","Thời gian tạo"
"Number","67383705694208","物品数量","物品數量","Item quantity","アイテム数","물품 수량","จำนวนสิ่งของ","Số lượng vật phẩm"
"Quality","67419273392128","物品品质","物品品質","Item Quality","アイテム品質","아이템 품질","คุณภาพไอเทม","Chất lượng vật phẩm"
"FigureModel","2937949507522560","手办模型","手辦模型","figurine model","フィギュア模型","피규어 모델","โมเดลฟิกเกอร์","mô hình figure"
"Painting","2937980415348736","绘画","繪畫","painting","絵画","회화","จิตรกรรม","hội họa"
"Figure","2938013999140864","手办","手辦","figure","フィギュア","피규어","ฟิกเกอร์","mô hình nhân vật"
"Node","3332727902539776","无","無","None","なし","없음","ไม่มี","Không có"
"Dialogue","3332757648543744","闲聊","閒聊","casual chat","雑談","잡담","คุยเล่น","trò chuyện phiếm"
"Goodwill","3332800652742656","好感","好感","favorable impression","好感","호감","ความรู้สึกที่ดี","thiện cảm"
"GiftGiving","3332825915035648","送礼","送禮","give a gift","贈り物をする","선물을 주다","ให้ของขวัญ","tặng quà"
"Kitchen","3332854918647808","厨房","廚房","Kitchen","キッチン","주방","ห้องครัว","Nhà bếp"
"ClawMachine","3332883226005504","娃娃机","娃娃機","claw machine","クレーンゲーム機","인형뽑기 기계","ตู้คีบตุ๊กตา","máy gắp thú bông"
"ExplosiveGames","3332917363445760","爆点游戏","爆點遊戲","Explosive Point Game","爆点ゲーム","폭발점 게임","เกมจุดระเบิด","Trò chơi điểm bùng nổ"
"WitchPoison","3332955338674176","女巫毒药","女巫毒藥","Witch's poison","魔女の毒薬","마녀의 독약","ยาพิษของแม่มด","Thuốc độc của phù thủy"
"Exhibition","3332989757132800","展会","展會","Exhibition","展示会","전시회","งานแสดงสินค้า","triển lãm"
"Manuscript","3333015631794176","催稿","催稿","Manuscript reminder","原稿の催促","원고 독촉","การเร่งส่งต้นฉบับ","nhắc nộp bản thảo"
"Supermarket","3333052474560512","超市","超市","supermarket","スーパーマーケット","슈퍼마켓","ซูเปอร์มาร์เก็ต","siêu thị"
"FruitShop","3333080773529600","果蔬店","果蔬店","Fruit and vegetable store","青果店","과일·채소 가게","ร้านขายผักและผลไม้","Cửa hàng rau quả"
"FabricStore","3333138369712128","布料店","布料店","Fabric store","生地店","원단 가게","ร้านขายผ้า","Cửa hàng vải"
"SexToyStore","3333173639614464","情趣用品店","情趣用品店","Adult products store","アダルトグッズ店","성인용품점","ร้านขายสินค้าสำหรับผู้ใหญ่","Cửa hàng đồ người lớn"
"Fishing","3333228715020288","钓鱼","釣魚","fishing","釣り","낚시","การตกปลา","câu cá"
"FishingBaitShop","3333254900060160","鱼饵购买","魚餌購買","Buy Fishing Bait","釣り餌の購入","낚시 미끼 구매","ซื้อเหยื่อตกปลา","Mua mồi câu cá"
"Photography","3333329030189056","摄影","攝影","Photography","写真撮影","사진 촬영","การถ่ายภาพ","Nhiếp ảnh"
"CoffeeShop","3333357605982208","咖啡店","咖啡店","coffee shop","コーヒーショップ","커피숍","ร้านกาแฟ","quán cà phê"
"Bar","3333382041997312","酒吧","酒吧","bar","バー","바","บาร์","quán bar"
"PhotoShop","4380126070673408","摄影商店","攝影商店","Photography Store","写真店","사진점","ร้านถ่ายภาพ","Cửa hàng nhiếp ảnh"
"GoToTheCasino","4380171306242048","去赌场","去賭場","Go to the casino","カジノに行く","카지노에 가다","ไปคาสิโน","Đi đến sòng bạc"
"GameCurrencyStore","4380197419978752","游戏币商店","遊戲幣商店","Game Coin Shop","ゲームコインショップ","게임 코인 상점","ร้านค้าเหรียญเกม","Cửa hàng xu trò chơi"
"BePassionate","4380230487871488","激情一下","激情一下","Get a little passionate","ちょっと盛り上がろう","잠깐 열정적으로 해보자","เร้าใจสักหน่อย","Hãy cuồng nhiệt một chút"
"ActoryProduction","5180717224013824","工厂制作","工廠製作","Factory production","工場製作","공장 제작","การผลิตในโรงงาน","Sản xuất tại nhà máy"
"FactoryProductionMaterials","5414029194420224","工厂生产资料","工廠生產資料","Factory production materials","工場生産資料","공장 생산 자료","ข้อมูลการผลิตของโรงงาน","Tài liệu sản xuất của nhà máy"
"Cloth","5414068033675264","布料","布料","fabric","布地","원단","ผ้า","vải"
"Merchandise","5414097096007680","周边货物","周邊貨物","Peripheral goods","周辺貨物","주변 화물","สินค้ารอบข้าง","hàng hóa xung quanh"
"ShopItem","6954555195523072","商店道具","商店道具","Shop Items","ショップアイテム","상점 아이템","ไอเทมร้านค้า","Vật phẩm cửa hàng"
"FishBait","6954555199717376","鱼饵","魚餌","fishing bait","釣り餌","미끼","เหยื่อตกปลา","mồi câu cá"
"FishRod","6954555203911680","鱼竿","魚竿","fishing rod","釣り竿","낚싯대","คันเบ็ด","cần câu"
"AdultToy","6954555208105984","情趣道具","情趣道具","Sex toys","アダルトグッズ","성인용품","เซ็กส์ทอย","đồ chơi tình dục"
