"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"MachiRoom/Inspiration",,"灵感值","靈感度","Inspiration","インスピレーション","영감도","แรงบันดาลใจ","Cảm hứng"
"MachiRoom/Pressure",,"压力值","壓力值","Pressure","プレッシャー","압박도","ความกดดัน","Áp lực"
"MachiRoom/InspirationNotEnough",,"灵感不足！","靈感不足！","Not enough inspiration!","インスピレーションが足りません！","영감이 부족합니다!","แรงบันดาลใจไม่พอ!","Không đủ cảm hứng!"
"MachiRoom/NewCanvas",,"新建画布","新建畫布","New canvas","新規キャンバス","새 캔버스","ผืนผ้าใบใหม่","Vải vẽ mới"
"MachiRoom/MachiBadState",,"马吉现在状态很差","馬吉現在狀態很差","Machi is in bad shape right now","マチは今、調子がとても悪い","마치는 지금 상태가 매우 나쁩니다","ตอนนี้มาจิอยู่ในสภาพที่ย่ำแย่","Machi hiện đang trong tình trạng rất tệ"
"MachiRoom/WhatToDrawToday",,"今天要画什么","今天要畫什麼","What to draw today","今日は何を描く","오늘은 무엇을 그릴까","วันนี้จะวาดอะไรดี","Hôm nay vẽ gì đây"
"MachiRoom/DraftCasual",,"随便摸鱼.psd","隨便摸魚.psd","Slacking Off.psd","適当にサボり.psd","대충 땡땡이.psd","อู้งานเล่นๆ.psd","Lười biếng.psd"
"MachiRoom/DraftSerious",,"认真画稿.psd","認真畫稿.psd","Serious Draft.psd","真面目に下書き.psd","진지하게 밑그림.psd","วาดจริงจัง.psd","Vẽ nghiêm túc.psd"
"MachiRoom/DraftMasterpiece",,"绝世大作.psd","絕世大作.psd","Masterpiece.psd","絶世の大作.psd","불세출의 걸작.psd","ผลงานชิ้นเอก.psd","Kiệt tác.psd"
"MachiRoom/InspirationCost",,"消耗{Count}灵感","消耗{Count}靈感","Consumes {Count} inspiration","インスピレーションを{Count}消費","영감 {Count} 소모","ใช้แรงบันดาลใจ {Count}","Tiêu hao {Count} cảm hứng"
