"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"ShopHelpTitle",,"小游戏","小遊戲","Mini Game","ミニゲーム","미니게임","มินิเกม","Trò Chơi Nhỏ"
"ShopHelpEnd",,"结束本局","結束本局","End Round","ゲーム終了","라운드 종료","จบรอบ","Kết Thúc"
"ShopHelpHelp",,"游戏说明，游戏说明，游戏说明","遊戲說明，遊戲說明，遊戲說明","Game instructions, game instructions, game instructions","ゲーム説明、ゲーム説明、ゲーム説明","게임 설명, 게임 설명, 게임 설명","คำอธิบายเกม คำอธิบายเกม คำอธิบายเกม","Hướng dẫn trò chơi, hướng dẫn trò chơi"
"ShopHelpSpeech",,"小伙子挺厉害的嘛","小伙子挺厲害的嘛","Not bad, kid!","なかなかやるじゃない","제법인데, 애송이!","เก่งนี่นะเจ้าหนู!","Khá lắm nhóc!"
"ShopHelpNotEnoughAp",,"行动力不足","行動力不足","Not enough action points","行動力が足りません","행동력이 부족합니다","พลังการกระทำไม่พอ","Không đủ điểm hành động"
"ShopHelpWinSpeech",,"全部摆好啦，干得漂亮！","全部擺好啦，幹得漂亮！","All stocked-nicely done!","全部並べたね、お見事！","전부 정리했어, 잘했어!","จัดครบแล้ว เก่งมาก!","Xếp xong hết rồi, giỏi lắm!"
"ShopHelpLoseSpeech",,"时间到了，下次加油！","時間到了，下次加油！","Time's up-better luck next time!","時間切れ、次はがんばろう！","시간 초과, 다음엔 더 잘하자!","หมดเวลาแล้ว คราวหน้าสู้ ๆ!","Hết giờ rồi, lần sau cố lên!"
"ShopHelpSettleReward",,"获得金币 {Coin}｜好感度 {Favor}","獲得金幣 {Coin}｜好感度 {Favor}","Coins {Coin} | Favor {Favor}","コイン {Coin}｜好感度 {Favor}","코인 {Coin}｜호감도 {Favor}","เหรียญ {Coin} | ความชอบ {Favor}","Xu {Coin} | Thiện cảm {Favor}"
"ShopHelpLoseContent",,"很遗憾，没能在时间内摆完货物","很遺憾，沒能在時間內擺完貨物","Too bad-you didn't stock everything in time","残念、時間内に商品を並べきれなかった","아쉽게도 시간 안에 다 못 채웠어요","น่าเสียดาย จัดสินค้าไม่ทันเวลา","Tiếc quá, chưa xếp hết hàng kịp giờ"
"SettleTitle",,"本局结算","本局結算","Round Result","ラウンド結果","라운드 결산","สรุปรอบ","Kết Quả Vòng"
"ShopHelpReplay",,"再来一局","再來一局","Play Again","もう一回","다시 하기","เล่นอีกครั้ง","Chơi Lại"
"ShopHelpBack",,"返回","返回","Back","戻る","돌아가기","กลับ","Quay Lại"
