"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"StartGame","154236084224","开始游戏","開始遊戲","Start Game","ゲーム開始","게임 시작","เริ่มเกม","Bắt đầu trò chơi"
"Consume","11471399411712","{SpConsumeCount:cond:>0?消耗体力 {} |}{CoinConsumeCount:cond:>0?金币 {}|}{ApConsumeCount:cond:>0?消耗行动力 {}|}","{SpConsumeCount:cond:>0?消耗體力 {} |}{CoinConsumeCount:cond:>0?金幣 {}|}{ApConsumeCount:cond:>0?消耗行動力 {}|}","{SpConsumeCount:cond:>0?Consume Stamina {} |}{CoinConsumeCount:cond:>0?Coins {}|}{ApConsumeCount:cond:>0?Actions {}|}","{SpConsumeCount:cond:>0?体力を{}消費 |}{CoinConsumeCount:cond:>0?コイン {}|}{ApConsumeCount:cond:>0?行動力を{}消費|}","{SpConsumeCount:cond:>0?체력 {} 소모 |}{CoinConsumeCount:cond:>0?코인 {}|}{ApConsumeCount:cond:>0?행동력 {} 소모|}","{SpConsumeCount:cond:>0?ใช้พลังงาน {} |}{CoinConsumeCount:cond:>0?เหรียญ {}|}{ApConsumeCount:cond:>0?ใช้การกระทำ {}|}","{SpConsumeCount:cond:>0?Tiêu hao thể lực {} |}{CoinConsumeCount:cond:>0?Xu {}|}{ApConsumeCount:cond:>0?Tiêu hao hành động {}|}"
"ClawMachineName","","抓娃娃机","抓娃娃機","Claw Machine","クレーンゲーム","인형 뽑기","ตู้คีบตุ๊กตา","Máy Gắp Thú"
"ClawMachineDesc","","投币操控夹爪，抓取心仪的奖品吧！","投幣操控夾爪，抓取心儀的獎品吧！","Drop a coin, control the claw, and grab the prize you want!","コインを入れてアームを操作し、お目当ての景品をゲットしよう！","코인을 넣고 집게를 조종해 원하는 상품을 잡아보세요!","หยอดเหรียญ บังคับก้ามคีบ แล้วคว้ารางวัลที่ถูกใจ!","Thả xu, điều khiển càng gắp và giành lấy phần thưởng bạn thích!"
"CrashSprintName","","爆点冲刺","爆點衝刺","Crash Sprint","クラッシュスプリント","크래시 스프린트","แครชสปรินต์","Bứt Tốc Điểm Nổ"
"CrashSprintDesc","","倍率不断攀升，在爆点前及时收手赢取奖励！","倍率不斷攀升，在爆點前及時收手贏取獎勵！","The multiplier keeps rising—cash out before it crashes to win big!","倍率はぐんぐん上昇。爆発する前に確定して報酬を勝ち取ろう！","배율이 계속 올라갑니다. 폭발하기 전에 정산하고 보상을 챙기세요!","ตัวคูณพุ่งสูงขึ้นเรื่อยๆ เก็บเงินก่อนจุดระเบิดเพื่อรับรางวัล!","Hệ số tăng liên tục—dừng lại trước điểm nổ để giành thưởng lớn!"
"WitchPoisonName","","女巫毒药","女巫毒藥","Witch's Poison","魔女の毒薬","마녀의 독약","ยาพิษแม่มด","Thuốc Độc Phù Thủy"
"WitchPoisonDesc","","逐一开启药瓶累积倍率，避开毒药见好就收！","逐一開啟藥瓶累積倍率，避開毒藥見好就收！","Open potions one by one to stack the multiplier—dodge the poison and cash out in time!","薬瓶を一つずつ開けて倍率を上げ、毒薬を避けて上手に降りよう！","약병을 하나씩 열어 배율을 쌓고, 독약을 피해 적당할 때 정산하세요!","เปิดขวดยาทีละขวดเพื่อสะสมตัวคูณ หลบยาพิษแล้วเก็บกำไรให้ทันเวลา!","Mở từng lọ thuốc để tích hệ số—tránh thuốc độc và rút lui đúng lúc!"
"NotEnoughStamina","","体力不足","體力不足","Lack of stamina","体力不足","체력 부족","พละกำลังไม่เพียงพอ","Thiếu thể lực"
"NotEnoughGameCoin","","游戏币不足","遊戲幣不足","Not enough coins","コインが足りません","코인이 부족합니다","เหรียญไม่พอ","Không đủ xu"
"NotEnoughAp","","行动力不足","行動力不足","Not enough action points","行動力不足","행동력 부족","การกระทำไม่เพียงพอ","Thiếu hành động"
"ShopHelpName","","商店帮忙","商店幫忙","Store Helper","お店のお手伝い","상점 돕기","ช่วยงานร้าน","Giúp Việc Cửa Hàng"
"ShopHelpDesc","","帮商店小妹摆放货物吧！根据货架上的提示，将对应的货物箱子放置对应的货架上。","幫商店小妹擺放貨物吧！根據貨架上的提示，將對應的貨物箱子放置對應的貨架上。","Help the shop girl stock the shelves! Follow the hint on each shelf and place the matching crate on it.","お店の女の子の荷物並べを手伝おう！棚のヒントに従って、対応する荷物箱を棚に置いてね。","상점 아가씨의 물건 정리를 도와주세요! 선반의 힌트에 따라 해당 상자를 선반에 놓으세요.","ช่วยพนักงานร้านจัดวางสินค้ากันเถอะ! ทำตามคำใบ้บนชั้นวาง แล้ววางกล่องสินค้าที่ตรงกันลงบนชั้นนั้น","Hãy giúp cô nhân viên cửa hàng xếp hàng lên kệ! Theo gợi ý trên kệ, đặt đúng thùng hàng tương ứng lên kệ đó."
"ShopHelpStart","","开始帮忙","開始幫忙","Start Helping","お手伝い開始","돕기 시작","เริ่มช่วยเหลือ","Bắt đầu giúp đỡ"
