"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"FactoryProcMiniGameTitle",,"小游戏","小遊戲","Mini Game","ミニゲーム","미니게임","มินิเกม","Trò chơi nhỏ"
"FactoryProcSuccessLabel",,"制作成功","製作成功","Success","製作成功","제작 성공","สำเร็จ","Thành công"
"FactoryProcFailLabel",,"失败","失敗","Fail","失敗","실패","ล้มเหลว","Thất bại"
"FactoryProcCheer",,"加油啊！","加油啊！","Go go!","頑張って！","힘내!","สู้ๆ!","Cố lên!"
"FactoryProcEndConfirmTitle",,"提示","提示","Notice","お知らせ","알림","แจ้งเตือน","Thông báo"
"FactoryProcEndConfirmContent",,"提前结束后，本局将什么也不会获得。","提前結束後，本局將什麼也不會獲得。","Ending early means you'll get nothing this round.","途中で終了すると、今回は何も得られません。","미리 종료하면 이번 판에서는 아무것도 얻지 못합니다.","หากจบก่อนกำหนด รอบนี้จะไม่ได้รับอะไรเลย","Kết thúc sớm sẽ không nhận được gì trong lượt này."
"FactoryProcEndConfirmOk",,"确认结束","確認結束","Confirm","終了する","종료 확인","ยืนยันจบ","Xác nhận kết thúc"
"FactoryProcEndConfirmCancel",,"取消","取消","Cancel","キャンセル","취소","ยกเลิก","Hủy"
"FactoryProcBack",,"返回","返回","Back","戻る","뒤로","กลับ","Quay lại"
"FactoryProcGood",,"GOOD!","GOOD!","GOOD!","GOOD!","GOOD!","GOOD!","GOOD!"
"FactoryProcOk",,"OK","OK","OK","OK","OK","OK","OK"
"FactoryProcBad",,"BAD...","BAD...","BAD...","BAD...","BAD...","BAD...","BAD..."
"FactoryProcNotEnoughStamina",,"体力不足","體力不足","Not enough stamina","体力が足りません","체력이 부족합니다","พลังงานไม่พอ","Không đủ thể lực"
"FactoryProcSettleTitle",,"本局结算","本局結算","Result","リザルト","결산","สรุปผล","Kết quả"
"FactoryProcSettleSpeech",,"辛苦啦~","辛苦啦~","Nice work~","お疲れさま~","수고했어~","เก่งมาก~","Vất vả rồi~"
