"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"GiftGivingPanel_Title",,"赠送礼物","贈送禮物","Give a Gift","ギフトを贈る","선물하기","มอบของขวัญ","Tặng quà"
"GiftGivingPanel_TitleFor",,"赠送给 {CharacterName}","贈送給 {CharacterName}","Gift for {CharacterName}","{CharacterName}にギフトを贈る","{CharacterName}에게 선물하기","มอบของขวัญให้ {CharacterName}","Tặng quà cho {CharacterName}"
"GiftGivingPanel_GiftListTitle",,"可赠送礼物","可贈送禮物","Available Gifts","贈れるギフト","선물할 수 있는 아이템","ของขวัญที่มอบได้","Quà có thể tặng"
"GiftGivingPanel_DetailTitle",,"礼物效果","禮物效果","Gift Effect","ギフト効果","선물 효과","ผลของของขวัญ","Hiệu ứng quà tặng"
"GiftGivingPanel_Empty",,"没有可赠送的礼物","沒有可贈送的禮物","No gifts available","贈れるギフトがありません","선물할 아이템이 없습니다","ไม่มีของขวัญที่มอบได้","Không có quà để tặng"
"GiftGivingPanel_SelectPrompt",,"请选择一份礼物","請選擇一份禮物","Select a gift","ギフトを選んでください","선물을 선택하세요","เลือกของขวัญ","Hãy chọn một món quà"
"GiftGivingPanel_Goodwill",,"好感度","好感度","Affection","好感度","호감도","ค่าความสนิทสนม","Thiện cảm"
"GiftGivingPanel_Confirm",,"赠送","贈送","Give","贈る","선물하기","มอบให้","Tặng"
"GiftGivingPanel_Success",,"已赠送 {GiftName}（好感度 {Goodwill}）","已贈送 {GiftName}（好感度 {Goodwill}）","Gave {GiftName} (Affection {Goodwill})","{GiftName}を贈りました（好感度 {Goodwill}）","{GiftName}을(를) 선물했습니다 (호감도 {Goodwill})","มอบ {GiftName} แล้ว (ค่าความสนิทสนม {Goodwill})","Đã tặng {GiftName} (Thiện cảm {Goodwill})"
"GiftGivingPanel_Failure",,"赠送失败，物品可能已不存在。","贈送失敗，物品可能已不存在。","Could not give the gift. The item may no longer be available.","ギフトを贈れませんでした。アイテムがなくなった可能性があります。","선물하지 못했습니다. 아이템이 더 이상 없을 수 있습니다.","มอบของขวัญไม่สำเร็จ ไอเทมอาจไม่มีอยู่แล้ว","Không thể tặng quà. Vật phẩm có thể không còn nữa."
