Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"FactoryMoldTitle",,"物料制作模板","物料製作模板","Material Crafting","素材制作テンプレート","소재 제작 템플릿","เทมเพลตผลิตวัสดุ","Mẫu chế tạo vật liệu"
"FactoryMoldTabFrame",,"框架","框架","Frame","フレーム","프레임","โครง","Khung"
"FactoryMoldTabSticker",,"贴纸","貼紙","Sticker","ステッカー","스티커","สติกเกอร์","Nhãn dán"
"FactoryMoldComplete",,"完成制作","完成製作","Complete","制作完了","제작 완료","เสร็จสิ้น","Hoàn thành"
"FactoryMoldExit",,"退出","退出","Exit","退出","나가기","ออก","Thoát"
"FactoryMoldScoreTitle",,"物料制作分数","物料製作分數","Crafting Score","素材制作スコア","소재 제작 점수","คะแนนการผลิต","Điểm chế tạo"
"FactoryMoldFrameScoreFmt",,"框架 +{Score}","框架 +{Score}","Frame +{Score}","フレーム +{Score}","프레임 +{Score}","โครง +{Score}","Khung +{Score}"
"FactoryMoldStickerScoreFmt",,"贴纸 +{Score}","貼紙 +{Score}","Sticker +{Score}","ステッカー +{Score}","스티커 +{Score}","สติกเกอร์ +{Score}","Nhãn dán +{Score}"
"FactoryMoldPriceFmt",,"预估制作价格：¥{Price}/件","預估製作價格：¥{Price}/件","Est. price: ¥{Price}/pc","制作予想価格：¥{Price}/個","예상 제작 가격: ¥{Price}/개","ราคาประมาณ: ¥{Price}/ชิ้น","Giá ước tính: ¥{Price}/cái"
"FactoryMoldNeedFrame",,"请先选择框架","請先選擇框架","Select a frame first","先にフレームを選択してください","먼저 프레임을 선택하세요","กรุณาเลือกโครงก่อน","Vui lòng chọn khung trước"
"FactoryMoldNeedSticker",,"请先选择贴纸","請先選擇貼紙","Select a sticker first","先にステッカーを選択してください","먼저 스티커를 선택하세요","กรุณาเลือกสติกเกอร์ก่อน","Vui lòng chọn nhãn dán trước"
"FactoryMoldCraftSuccess",,"制作成功！","製作成功！","Crafted!","制作成功！","제작 성공!","ผลิตสำเร็จ!","Chế tạo thành công!"
"FactoryMoldEmpty",,"暂无可用的框架/贴纸","暫無可用的框架／貼紙","No frames / stickers available","利用できるフレーム／ステッカーがありません","사용 가능한 프레임/스티커가 없습니다","ไม่มีโครง/สติกเกอร์ที่ใช้ได้","Không có khung/nhãn dán khả dụng"
