Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"MainUI/GameMap",10502770688,"地图","地圖","map","地図","지도","แผนที่","bản đồ"
"MainUI/Task",78236585984,"任务","任務","Task","タスク","작업","งาน","Nhiệm vụ"
"MainUI/Phone",130321453056,"手机","手機","mobile phone","携帯電話","휴대폰","โทรศัพท์มือถือ","điện thoại di động"
"MainUI/ItemBag",206058000384,"背包","背包","backpack","リュックサック","배낭","กระเป๋าเป้","ba lô"
"MainUI/Remember",262815322112,"回忆","回憶","Memories","思い出","추억","ความทรงจำ","Hồi ức"
"MainUI/DayFarme/Tex",42856429621248,"第{value}天","第{value}天","Day {value}","{value}日目","{value}일째","วันที่ {value}","Ngày thứ {value}"
"MainUI/DayFarme/Week/Tex",43564772069376,"星期{value}","星期{value}","Weekday {value}","{value}曜日","{value}요일","วัน{value}","Thứ {value}"
"MainUI/DayFarme/ActionPointsText",44173608849408,"行动值","行動值","Action Points","行動値","행동력","ค่าการกระทำ","Điểm hành động"
"MainUI/StrengthFarme/Tex",44624790130688,"体力:{value}","體力:{value}","Stamina:{value}","体力:{value}","체력:{value}","พลังกาย:{value}","Thể lực:{value}"
"MainUI/StrengthFarme/SleepTex",45231634616320,"休息","休息","Rest","休む","휴식","พักผ่อน","Nghỉ ngơi"
"MainUI/GoldNumberFarme/Text",45680584527872,"现有金币 ： {value}","現有金幣：{value}","Current Gold Coins: {value}","現在の金貨：{value}","보유 골드: {value}","เหรียญทองที่มีอยู่: {value}","Xu vàng hiện có: {value}"
"MainUI/EnvironmentMode/Morning",,"早上","早上","Morning","朝","아침","เช้า","Buổi sáng"
"MainUI/EnvironmentMode/Noon",,"中午","中午","Noon","昼","정오","เที่ยง","Buổi trưa"
"MainUI/EnvironmentMode/Evening",,"傍晚","傍晚","Evening","夕方","저녁","เย็น","Buổi tối"
"MainUI/EnvironmentMode/Midnight",,"半夜","半夜","Midnight","真夜中","한밤중","เที่ยงคืน","Nửa đêm"
