"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"ClothShopTitle","10072059904","商店","商店","store","店","상점","ร้านค้า","cửa hàng"
"GoldValue","536469794816","现有游戏币:{value}","現有遊戲幣:{value}","Current game coins: {value}","現在のゲームコイン:{value}","현재 게임 코인:{value}","เหรียญเกมที่มีอยู่:{value}","Xu trò chơi hiện có:{value}"
"ToolsTip","1392351080448","消耗性商品将在每周一重新补货","消耗性商品將在每週一重新補貨","Consumable items will be restocked every Monday.","消耗品は毎週月曜日に再入荷します。","소모성 상품은 매주 월요일에 재입고됩니다.","สินค้าสิ้นเปลืองจะเติมสต็อกใหม่ทุกวันจันทร์","Hàng hóa tiêu hao sẽ được bổ sung lại vào mỗi thứ Hai."
"TotalValue","2302934478848","合计: ￥{value}","合計: ￥{value}","Total: ￥{value}","合計: ￥{value}","합계: ￥{value}","รวม: ￥{value}","Tổng cộng: ￥{value}"
"BuyAll","2749678186496","购物结算","購物結算","Shopping Checkout","ショッピング決済","쇼핑 결제","ชำระเงินค่าสินค้า","Thanh toán mua sắm"
"BuyTex","3196996513792","购买","購買","Purchase","購入","구매","ซื้อ","Mua"
"SellTex","3265741156352","出售","出售","For sale","販売","판매","ขาย","Bán"
"itemPrice","56885130792960","价格:{value}","價格:{value}","Price:{value}","価格:{value}","가격:{value}","ราคา:{value}","Giá:{value}"
"ShopNumberTex","59368259424256","商店数量: {value}","商店數量: {value}","Number of stores: {value}","店舗数: {value}","상점 수: {value}","จำนวนร้านค้า: {value}","Số lượng cửa hàng: {value}"
"MyNumberTex","63986150379520","背包数量:{value}","背包數量:{value}","Backpack quantity:{value}","バックパック数:{value}","배낭 수:{value}","จำนวนกระเป๋าเป้:{value}","Số lượng ba lô:{value}"
"LongPressTips","403619119861760","长按可加速添加","長按可加速添加","Press and hold to add faster","長押しで追加を加速できます","길게 누르면 더 빠르게 추가할 수 있습니다","กดค้างเพื่อเพิ่มได้เร็วขึ้น","Nhấn giữ để thêm nhanh hơn"
"IncomeTex","404110411272192","预期收入:<color=yellow>￥{value}</color>","預期收入:<color=yellow>￥{value}</color>","Expected income:<color=yellow>￥{value}</color>","予想収入:<color=yellow>￥{value}</color>","예상 수입:<color=yellow>￥{value}</color>","รายได้ที่คาดไว้:<color=yellow>￥{value}</color>","Thu nhập dự kiến:<color=yellow>￥{value}</color>"
"NulMask","425470160244736","选中物品查看具体信息","選中物品查看具體資訊","Select an item to view detailed information","アイテムを選択して詳細情報を表示","아이템을 선택하여 자세한 정보를 확인하세요","เลือกไอเทมเพื่อดูข้อมูลรายละเอียด","Chọn vật phẩm để xem thông tin chi tiết"
