Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"CrashSprintBetLabel",,"下注金额","下注金額","Bet","賭け金","베팅 금액","จำนวนเดิมพัน","Tiền cược"
"CrashSprintExpectLabel",,"预期获得","預期獲得","Expected","予想獲得","예상 획득","คาดว่าจะได้","Dự kiến nhận"
"CrashSprintCapLabel",,"倍率上限","倍率上限","Max Multi.","最大倍率","최대 배율","ตัวคูณสูงสุด","Hệ số tối đa"
"CrashSprintBetRange",,"最低金额{MinBet} 最高金额{MaxBet}","最低金額{MinBet} 最高金額{MaxBet}","Min {MinBet} Max {MaxBet}","最低{MinBet} 最高{MaxBet}","최소 {MinBet} 최대 {MaxBet}","ต่ำสุด {MinBet} สูงสุด {MaxBet}","Thấp nhất {MinBet} Cao nhất {MaxBet}"
"CrashSprintStart",,"开始","開始","Start","スタート","시작","เริ่ม","Bắt đầu"
"CrashSprintCashOut",,"收手","收手","Cash Out","確定","정산","เก็บเงิน","Dừng lại"
"CrashSprintBack",,"返回","返回","Back","戻る","뒤로","กลับ","Quay lại"
"CrashSprintNotEnoughMoney",,"游戏币不足","遊戲幣不足","Not enough coins","コインが足りません","코인이 부족합니다","เหรียญไม่พอ","Không đủ xu"
"CrashSprintSettleWinSpeech",,"运气真好~","運氣真好~","Lucky you~","運がいいね~","운이 좋네~","โชคดีจัง~","May mắn thật~"
"CrashSprintSettleLoseSpeech",,"太贪心啦~","太貪心啦~","Too greedy~","欲張りすぎ~","너무 욕심냈어~","โลภเกินไป~","Tham quá rồi~"
"CrashSprintSettleWinContent",,"下注金额：<color=#E8C84A>-{Bet}</color>
止盈赔率：<color=#FF5C8A>{Multiplier}x</color>
爆点数值：<color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>获得游戏币：+{Payout}</size></color>","下注金額：<color=#E8C84A>-{Bet}</color>
止盈賠率：<color=#FF5C8A>{Multiplier}x</color>
爆點數值：<color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>獲得遊戲幣：+{Payout}</size></color>","Bet: <color=#E8C84A>-{Bet}</color>
Cash-out: <color=#FF5C8A>{Multiplier}x</color>
Crash: <color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>Coins won: +{Payout}</size></color>","賭け金：<color=#E8C84A>-{Bet}</color>
確定倍率：<color=#FF5C8A>{Multiplier}x</color>
爆発倍率：<color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>獲得コイン：+{Payout}</size></color>","베팅 금액: <color=#E8C84A>-{Bet}</color>
정산 배율: <color=#FF5C8A>{Multiplier}x</color>
폭발 배율: <color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>획득 코인: +{Payout}</size></color>","จำนวนเดิมพัน: <color=#E8C84A>-{Bet}</color>
อัตราเก็บเงิน: <color=#FF5C8A>{Multiplier}x</color>
จุดระเบิด: <color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>เหรียญที่ได้รับ: +{Payout}</size></color>","Tiền cược: <color=#E8C84A>-{Bet}</color>
Hệ số chốt: <color=#FF5C8A>{Multiplier}x</color>
Điểm nổ: <color=#FF5C8A>{Crash}x</color>

<color=#B66BFF><size=120%>Xu nhận được: +{Payout}</size></color>"
"CrashSprintSettleLoseContent",,"下注金额：<color=#E8C84A>-{Bet}</color>
爆点数值：<color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>游戏币损失：-{Bet}</color>","下注金額：<color=#E8C84A>-{Bet}</color>
爆點數值：<color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>遊戲幣損失：-{Bet}</color>","Bet: <color=#E8C84A>-{Bet}</color>
Crash: <color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>Coins lost: -{Bet}</color>","賭け金：<color=#E8C84A>-{Bet}</color>
爆発倍率：<color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>コイン損失：-{Bet}</color>","베팅 금액: <color=#E8C84A>-{Bet}</color>
폭발 배율: <color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>코인 손실: -{Bet}</color>","จำนวนเดิมพัน: <color=#E8C84A>-{Bet}</color>
จุดระเบิด: <color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>เหรียญที่เสีย: -{Bet}</color>","Tiền cược: <color=#E8C84A>-{Bet}</color>
Điểm nổ: <color=#FF5C8A>{Crash}x</color>
<color=#FF5C8A>Xu mất: -{Bet}</color>"
