"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"FactorySettleTitle",,"本局结算","本局結算","Result","リザルト","결산","สรุปผล","Kết quả"
"FactorySettleSpeech",,"挺能干的","挺能幹的","Nice work!","なかなかやるね","제법인데","เก่งใช้ได้","Khá đấy"
"FactorySettleEstPriceFmt",,"预计售价：{Price}/个","預計售價：{Price}/個","Est. Price: {Price}/pc","予想価格：{Price}/個","예상 가격: {Price}/개","ราคาประมาณ: {Price}/ชิ้น","Giá dự kiến: {Price}/cái"
"FactorySettleItemHint",,"道具已自动发放进背包","道具已自動發放進背包","Items added to bag","アイテムはバッグに自動付与されました","아이템이 가방에 자동 지급되었습니다","ไอเทมถูกเพิ่มเข้ากระเป๋าแล้ว","Vật phẩm đã tự động vào túi"
"FactorySettleBack",,"返回","返回","Back","戻る","뒤로","กลับ","Quay lại"
"FactorySettleCraftCountLabel",,"本次加工数量","本次加工數量","Processed This Round","今回の加工数","이번 가공 수량","จำนวนที่แปรรูปครั้งนี้","Số lượng gia công lần này"
"FactorySettleUnitPiece",,"个","個",,"個","개","ชิ้น","cái"
"FactorySettleDefectRateLabel",,"残次品率","殘次品率","Defect Rate","不良品率","불량률","อัตราสินค้าเสีย","Tỷ lệ hàng lỗi"
"FactorySettleFailProductLabel",,"失败产品","失敗產品","Failed Products","失敗製品","실패 제품","สินค้าที่ล้มเหลว","Sản phẩm thất bại"
"FactorySettleDoneLabel",,"完成生产","完成生產","Completed","完成生産","완성 생산","ผลิตสำเร็จ","Sản xuất hoàn thành"
"FactorySettleClickToClose",,"点击屏幕任意位置关闭界面","點擊螢幕任意位置關閉介面","Click anywhere to close","画面のどこかをクリックして閉じる","화면 아무 곳이나 클릭하면 닫힙니다","คลิกที่ใดก็ได้บนหน้าจอเพื่อปิด","Nhấp vào bất kỳ đâu trên màn hình để đóng"
